scalar,r,g,b
0.0,0.177,0.177,0.177
0.00392156862745098,0.178,0.178,0.178
0.00784313725490196,0.179,0.179,0.179
0.011764705882352941,0.180,0.180,0.180
0.01568627450980392,0.183,0.183,0.183
0.0196078431372549,0.185,0.185,0.185
0.023529411764705882,0.188,0.188,0.188
0.027450980392156862,0.191,0.191,0.191
0.03137254901960784,0.195,0.195,0.195
0.03529411764705882,0.199,0.199,0.199
0.0392156862745098,0.203,0.203,0.203
0.043137254901960784,0.207,0.207,0.207
0.047058823529411764,0.211,0.211,0.211
0.050980392156862744,0.215,0.216,0.216
0.054901960784313725,0.220,0.220,0.220
0.058823529411764705,0.225,0.225,0.225
0.06274509803921569,0.229,0.229,0.229
0.06666666666666667,0.234,0.234,0.234
0.07058823529411765,0.239,0.239,0.239
0.07450980392156863,0.243,0.243,0.243
0.0784313725490196,0.248,0.248,0.248
0.08235294117647059,0.253,0.253,0.253
0.08627450980392157,0.258,0.258,0.258
0.09019607843137255,0.263,0.263,0.263
0.09411764705882353,0.267,0.267,0.267
0.09803921568627451,0.272,0.272,0.272
0.10196078431372549,0.277,0.277,0.277
0.10588235294117647,0.282,0.282,0.282
0.10980392156862745,0.287,0.287,0.287
0.11372549019607843,0.292,0.292,0.292
0.11764705882352941,0.297,0.297,0.297
0.12156862745098039,0.302,0.302,0.302
0.12549019607843137,0.307,0.307,0.307
0.12941176470588234,0.312,0.312,0.312
0.1333333333333333,0.317,0.317,0.317
0.13725490196078427,0.321,0.322,0.322
0.14117647058823524,0.326,0.327,0.327
0.1450980392156862,0.332,0.332,0.332
0.14901960784313717,0.337,0.337,0.337
0.15294117647058814,0.342,0.342,0.342
0.1568627450980391,0.347,0.347,0.347
0.16078431372549007,0.352,0.352,0.352
0.16470588235294104,0.357,0.357,0.357
0.168627450980392,0.362,0.362,0.362
0.17254901960784297,0.367,0.367,0.367
0.17647058823529393,0.372,0.372,0.372
0.1803921568627449,0.377,0.377,0.377
0.18431372549019587,0.382,0.382,0.382
0.18823529411764683,0.387,0.388,0.388
0.1921568627450978,0.393,0.393,0.393
0.19607843137254877,0.398,0.398,0.398
0.19999999999999973,0.403,0.403,0.403
0.2039215686274507,0.408,0.408,0.408
0.20784313725490167,0.413,0.413,0.413
0.21176470588235263,0.418,0.418,0.418
0.2156862745098036,0.423,0.423,0.423
0.21960784313725457,0.428,0.429,0.429
0.22352941176470553,0.434,0.434,0.434
0.2274509803921565,0.439,0.439,0.439
0.23137254901960747,0.444,0.444,0.444
0.23529411764705843,0.449,0.449,0.449
0.2392156862745094,0.454,0.454,0.454
0.24313725490196036,0.459,0.459,0.459
0.24705882352941133,0.464,0.464,0.464
0.2509803921568623,0.469,0.469,0.469
0.25490196078431326,0.474,0.474,0.474
0.25882352941176423,0.479,0.479,0.479
0.2627450980392152,0.484,0.484,0.484
0.26666666666666616,0.489,0.489,0.489
0.27058823529411713,0.494,0.494,0.494
