scalar,r,g,b
0.0,0.933,0.930,0.927
0.00392156862745098,0.935,0.929,0.918
0.00784313725490196,0.935,0.926,0.909
0.011764705882352941,0.935,0.923,0.899
0.01568627450980392,0.933,0.919,0.887
0.0196078431372549,0.931,0.914,0.875
0.023529411764705882,0.929,0.909,0.863
0.027450980392156862,0.925,0.903,0.849
0.03137254901960784,0.922,0.896,0.836
0.03529411764705882,0.918,0.890,0.822
0.0392156862745098,0.914,0.883,0.808
0.043137254901960784,0.910,0.876,0.793
0.047058823529411764,0.906,0.869,0.779
0.050980392156862744,0.901,0.862,0.765
0.054901960784313725,0.897,0.855,0.750
0.058823529411764705,0.893,0.848,0.736
0.06274509803921569,0.888,0.841,0.721
0.06666666666666667,0.883,0.834,0.707
0.07058823529411765,0.879,0.827,0.693
0.07450980392156863,0.874,0.820,0.678
0.0784313725490196,0.869,0.813,0.664
0.08235294117647059,0.864,0.806,0.650
0.08627450980392157,0.860,0.799,0.636
0.09019607843137255,0.855,0.792,0.622
0.09411764705882353,0.850,0.785,0.607
0.09803921568627451,0.845,0.779,0.593
0.10196078431372549,0.840,0.772,0.579
0.10588235294117647,0.835,0.765,0.565
0.10980392156862745,0.829,0.758,0.551
0.11372549019607843,0.824,0.751,0.537
0.11764705882352941,0.819,0.744,0.523
0.12156862745098039,0.814,0.738,0.509
0.12549019607843137,0.808,0.731,0.495
0.12941176470588234,0.803,0.724,0.481
0.1333333333333333,0.798,0.717,0.467
0.13725490196078427,0.792,0.711,0.452
0.14117647058823524,0.787,0.704,0.438
0.1450980392156862,0.781,0.697,0.424
0.14901960784313717,0.775,0.691,0.410
0.15294117647058814,0.770,0.684,0.396
0.1568627450980391,0.764,0.677,0.382
0.16078431372549007,0.758,0.671,0.368
0.16470588235294104,0.753,0.664,0.353
0.168627450980392,0.747,0.658,0.339
0.17254901960784297,0.741,0.651,0.325
0.17647058823529393,0.735,0.644,0.310
0.1803921568627449,0.729,0.638,0.296
0.18431372549019587,0.723,0.631,0.281
0.18823529411764683,0.717,0.625,0.266
0.1921568627450978,0.711,0.618,0.251
0.19607843137254877,0.704,0.612,0.235
0.19999999999999973,0.698,0.605,0.220
0.2039215686274507,0.692,0.599,0.204
0.20784313725490167,0.686,0.593,0.187
0.21176470588235263,0.680,0.587,0.171
0.2156862745098036,0.674,0.580,0.154
0.21960784313725457,0.668,0.575,0.136
0.22352941176470553,0.662,0.569,0.118
0.2274509803921565,0.657,0.564,0.099
0.23137254901960747,0.652,0.559,0.080
0.23529411764705843,0.647,0.555,0.060
0.2392156862745094,0.643,0.551,0.040
0.24313725490196036,0.641,0.548,0.023
0.24705882352941133,0.639,0.546,0.011
0.2509803921568623,0.638,0.546,0.006
0.25490196078431326,0.638,0.546,0.007
0.25882352941176423,0.639,0.547,0.014
0.2627450980392152,0.641,0.549,0.027
0.26666666666666616,0.644,0.552,0.046
0.27058823529411713,0.648,0.556,0.066
0.2745098039215681,0.653,0.560,0.085
0.27843137254901906,0.658,0.565,0.104
0.28235294117647003,0.663,0.570,0.123
0.286274509803921,0.669,0.576,0.141
