scalar,r,g,b
0.0,0.229,0.566,0.997
0.00392156862745098,0.242,0.569,0.996
0.00784313725490196,0.253,0.571,0.996
0.011764705882352941,0.265,0.574,0.996
0.01568627450980392,0.276,0.577,0.996
0.0196078431372549,0.286,0.580,0.995
0.023529411764705882,0.296,0.582,0.995
0.027450980392156862,0.306,0.585,0.995
0.03137254901960784,0.315,0.588,0.994
0.03529411764705882,0.324,0.590,0.994
0.0392156862745098,0.333,0.593,0.994
0.043137254901960784,0.342,0.596,0.993
0.047058823529411764,0.350,0.599,0.993
0.050980392156862744,0.359,0.601,0.993
0.054901960784313725,0.367,0.604,0.993
0.058823529411764705,0.375,0.607,0.992
0.06274509803921569,0.382,0.610,0.992
0.06666666666666667,0.390,0.612,0.992
0.07058823529411765,0.397,0.615,0.991
0.07450980392156863,0.405,0.618,0.991
0.0784313725490196,0.412,0.621,0.991
0.08235294117647059,0.419,0.624,0.990
0.08627450980392157,0.426,0.626,0.990
0.09019607843137255,0.433,0.629,0.990
0.09411764705882353,0.440,0.632,0.989
0.09803921568627451,0.446,0.635,0.989
0.10196078431372549,0.453,0.638,0.989
0.10588235294117647,0.459,0.640,0.988
0.10980392156862745,0.466,0.643,0.988
0.11372549019607843,0.472,0.646,0.988
0.11764705882352941,0.478,0.649,0.987
0.12156862745098039,0.485,0.652,0.987
0.12549019607843137,0.491,0.654,0.987
0.12941176470588234,0.497,0.657,0.986
0.1333333333333333,0.503,0.660,0.986
0.13725490196078427,0.509,0.663,0.986
0.14117647058823524,0.515,0.666,0.985
0.1450980392156862,0.520,0.669,0.985
0.14901960784313717,0.526,0.672,0.985
0.15294117647058814,0.532,0.674,0.984
0.1568627450980391,0.538,0.677,0.984
0.16078431372549007,0.543,0.680,0.983
0.16470588235294104,0.549,0.683,0.983
0.168627450980392,0.554,0.686,0.983
0.17254901960784297,0.560,0.689,0.982
0.17647058823529393,0.565,0.692,0.982
0.1803921568627449,0.571,0.694,0.982
0.18431372549019587,0.576,0.697,0.981
0.18823529411764683,0.581,0.700,0.981
0.1921568627450978,0.587,0.703,0.980
0.19607843137254877,0.592,0.706,0.980
0.19999999999999973,0.597,0.709,0.980
0.2039215686274507,0.602,0.712,0.979
0.20784313725490167,0.608,0.715,0.979
0.21176470588235263,0.613,0.718,0.979
0.2156862745098036,0.618,0.721,0.978
0.21960784313725457,0.623,0.724,0.978
0.22352941176470553,0.628,0.726,0.977
0.2274509803921565,0.633,0.729,0.977
0.23137254901960747,0.638,0.732,0.977
0.23529411764705843,0.643,0.735,0.976
0.2392156862745094,0.648,0.738,0.976
0.24313725490196036,0.653,0.741,0.975
0.24705882352941133,0.658,0.744,0.975
0.2509803921568623,0.663,0.747,0.975
0.25490196078431326,0.667,0.750,0.974
0.25882352941176423,0.672,0.753,0.974
0.2627450980392152,0.677,0.756,0.973
0.26666666666666616,0.682,0.759,0.973
0.27058823529411713,0.687,0.762,0.973
0.2745098039215681,0.691,0.765,0.972
0.27843137254901906,0.696,0.768,0.972
0.28235294117647003,0.701,0.771,0.971
0.286274509803921,0.705,0.774,0.971
