scalar,r,g,b
0.0,0.066,0.066,0.066
0.00392156862745098,0.068,0.070,0.074
0.00784313725490196,0.071,0.073,0.082
0.011764705882352941,0.073,0.076,0.089
0.01568627450980392,0.075,0.079,0.095
0.0196078431372549,0.077,0.082,0.101
0.023529411764705882,0.079,0.085,0.108
0.027450980392156862,0.080,0.088,0.114
0.03137254901960784,0.081,0.091,0.121
0.03529411764705882,0.082,0.094,0.128
0.0392156862745098,0.083,0.097,0.134
0.043137254901960784,0.084,0.099,0.141
0.047058823529411764,0.085,0.102,0.148
0.050980392156862744,0.086,0.105,0.154
0.054901960784313725,0.087,0.108,0.161
0.058823529411764705,0.087,0.111,0.168
0.06274509803921569,0.088,0.114,0.175
0.06666666666666667,0.088,0.116,0.182
0.07058823529411765,0.089,0.119,0.189
0.07450980392156863,0.089,0.122,0.196
0.0784313725490196,0.089,0.125,0.203
0.08235294117647059,0.089,0.128,0.210
0.08627450980392157,0.089,0.131,0.217
0.09019607843137255,0.089,0.134,0.224
0.09411764705882353,0.088,0.137,0.231
0.09803921568627451,0.088,0.140,0.238
0.10196078431372549,0.087,0.143,0.246
0.10588235294117647,0.087,0.146,0.253
0.10980392156862745,0.086,0.149,0.260
0.11372549019607843,0.085,0.152,0.267
0.11764705882352941,0.084,0.155,0.274
0.12156862745098039,0.083,0.158,0.281
0.12549019607843137,0.082,0.161,0.289
0.12941176470588234,0.081,0.164,0.296
0.1333333333333333,0.080,0.167,0.303
0.13725490196078427,0.078,0.170,0.310
0.14117647058823524,0.077,0.173,0.317
0.1450980392156862,0.076,0.176,0.324
0.14901960784313717,0.074,0.179,0.331
0.15294117647058814,0.073,0.182,0.338
0.1568627450980391,0.072,0.185,0.344
0.16078431372549007,0.070,0.189,0.351
0.16470588235294104,0.069,0.192,0.358
0.168627450980392,0.068,0.195,0.364
0.17254901960784297,0.067,0.198,0.371
0.17647058823529393,0.066,0.201,0.377
0.1803921568627449,0.065,0.204,0.383
0.18431372549019587,0.064,0.207,0.390
0.18823529411764683,0.063,0.210,0.396
0.1921568627450978,0.062,0.214,0.402
0.19607843137254877,0.062,0.217,0.408
0.19999999999999973,0.061,0.220,0.414
0.2039215686274507,0.061,0.223,0.421
0.20784313725490167,0.060,0.226,0.427
0.21176470588235263,0.060,0.230,0.433
0.2156862745098036,0.060,0.233,0.439
0.21960784313725457,0.060,0.236,0.445
0.22352941176470553,0.060,0.239,0.451
0.2274509803921565,0.060,0.242,0.456
0.23137254901960747,0.060,0.246,0.462
0.23529411764705843,0.060,0.249,0.468
0.2392156862745094,0.060,0.252,0.474
0.24313725490196036,0.060,0.255,0.480
0.24705882352941133,0.060,0.259,0.486
0.2509803921568623,0.060,0.262,0.492
0.25490196078431326,0.060,0.265,0.498
0.25882352941176423,0.060,0.268,0.504
0.2627450980392152,0.060,0.272,0.510
0.26666666666666616,0.059,0.275,0.516
0.27058823529411713,0.059,0.278,0.522
0.2745098039215681,0.059,0.282,0.528
0.27843137254901906,0.059,0.285,0.534
0.28235294117647003,0.059,0.288,0.541
0.286274509803921,0.059,0.292,0.547
0.29019607843137196,0.059,0.295,0.553
0.29411764705882293,0.058,0.298,0.559
0.2980392156862739,0.058,0.302,0.565
0.30196078431372486,0.058,0.305,0.571
0.30588235294117583,0.057,0.308,0.577
0.3098039215686268,0.057,0.312,0.583
0.31372549019607776,0.057,0.315,0.590
0.3176470588235287,0.056,0.318,0.596
0.3215686274509797,0.056,0.322,0.602
0.32549019607843066,0.056,0.325,0.608
0.3294117647058816,0.055,0.329,0.614
0.3333333333333326,0.055,0.332,0.621
0.33725490196078356,0.054,0.335,0.627
0.3411764705882345,0.053,0.339,0.633
0.3450980392156855,0.053,0.342,0.639
0.34901960784313646,0.052,0.346,0.646
0.3529411764705874,0.051,0.349,0.652
0.3568627450980384,0.051,0.352,0.658
0.36078431372548936,0.050,0.356,0.664
0.3647058823529403,0.049,0.359,0.671
0.3686274509803913,0.048,0.363,0.677
0.37254901960784226,0.047,0.366,0.683
0.3764705882352932,0.046,0.370,0.690
0.3803921568627442,0.045,0.373,0.696
0.38431372549019516,0.044,0.377,0.703
0.3882352941176461,0.043,0.380,0.709
0.3921568627450971,0.042,0.384,0.715
0.39607843137254806,0.041,0.387,0.722
0.399999999999999,0.040,0.391,0.728
0.40392156862745,0.038,0.394,0.735
0.40784313725490096,0.037,0.398,0.741
0.4117647058823519,0.036,0.401,0.747
0.4156862745098029,0.034,0.405,0.754
0.41960784313725386,0.032,0.408,0.760
0.4235294117647048,0.031,0.412,0.767
0.4274509803921558,0.029,0.415,0.773
0.43137254901960675,0.027,0.419,0.780
0.4352941176470577,0.026,0.422,0.786
0.4392156862745087,0.024,0.426,0.793
0.44313725490195965,0.022,0.429,0.799
0.4470588235294106,0.020,0.433,0.806
0.4509803921568616,0.018,0.436,0.812
0.45490196078431255,0.016,0.440,0.819
0.4588235294117635,0.014,0.444,0.826
0.4627450980392145,0.012,0.447,0.832
0.46666666666666545,0.010,0.451,0.839
0.4705882352941164,0.008,0.454,0.845
0.4745098039215674,0.006,0.458,0.852
0.47843137254901835,0.005,0.462,0.858
0.4823529411764693,0.003,0.465,0.865
0.4862745098039203,0.002,0.469,0.871
0.49019607843137125,0.001,0.472,0.878
0.4941176470588222,0.001,0.476,0.884
0.4980392156862732,0.002,0.480,0.891
0.5019607843137242,0.004,0.483,0.897
0.5058823529411751,0.007,0.487,0.903
0.5098039215686261,0.012,0.490,0.909
0.513725490196077,0.019,0.494,0.915
0.517647058823528,0.029,0.498,0.920
0.521568627450979,0.042,0.501,0.925
0.52549019607843,0.056,0.505,0.930
0.5294117647058809,0.071,0.509,0.935
0.5333333333333319,0.087,0.512,0.939
0.5372549019607828,0.104,0.516,0.942
0.5411764705882338,0.121,0.519,0.945
0.5450980392156848,0.138,0.523,0.947
0.5490196078431357,0.156,0.526,0.949
0.5529411764705867,0.175,0.530,0.950
0.5568627450980377,0.194,0.534,0.950
0.5607843137254886,0.213,0.537,0.949
0.5647058823529396,0.232,0.541,0.947
0.5686274509803906,0.252,0.544,0.945
0.5725490196078415,0.271,0.548,0.941
0.5764705882352925,0.291,0.551,0.937
0.5803921568627435,0.310,0.555,0.932
0.5843137254901944,0.329,0.558,0.926
0.5882352941176454,0.348,0.562,0.919
0.5921568627450964,0.366,0.565,0.911
0.5960784313725473,0.385,0.569,0.903
0.5999999999999983,0.402,0.573,0.894
0.6039215686274493,0.419,0.576,0.884
0.6078431372549002,0.436,0.580,0.874
0.6117647058823512,0.452,0.584,0.864
0.6156862745098022,0.468,0.587,0.853
0.6196078431372531,0.483,0.591,0.841
0.6235294117647041,0.498,0.595,0.829
0.6274509803921551,0.512,0.598,0.817
0.631372549019606,0.525,0.602,0.805
0.635294117647057,0.539,0.606,0.793
0.639215686274508,0.551,0.610,0.781
0.6431372549019589,0.563,0.614,0.768
0.6470588235294099,0.575,0.617,0.756
0.6509803921568609,0.587,0.621,0.743
0.6549019607843118,0.598,0.625,0.730
0.6588235294117628,0.608,0.629,0.718
0.6627450980392138,0.619,0.633,0.705
0.6666666666666647,0.629,0.637,0.693
0.6705882352941157,0.639,0.640,0.681
0.6745098039215667,0.648,0.644,0.668
0.6784313725490176,0.658,0.648,0.656
0.6823529411764686,0.667,0.652,0.644
0.6862745098039196,0.676,0.656,0.632
0.6901960784313705,0.685,0.660,0.620
0.6941176470588215,0.693,0.663,0.608
0.6980392156862725,0.702,0.667,0.596
0.7019607843137234,0.710,0.671,0.584
0.7058823529411744,0.718,0.675,0.573
0.7098039215686254,0.726,0.678,0.561
0.7137254901960763,0.734,0.682,0.549
0.7176470588235273,0.742,0.686,0.537
0.7215686274509783,0.750,0.690,0.525
0.7254901960784292,0.758,0.693,0.514
0.7294117647058802,0.765,0.697,0.502
0.7333333333333312,0.772,0.701,0.490
0.7372549019607821,0.780,0.705,0.478
0.7411764705882331,0.787,0.708,0.466
0.7450980392156841,0.794,0.712,0.454
0.749019607843135,0.801,0.716,0.442
0.752941176470586,0.808,0.720,0.429
0.756862745098037,0.815,0.723,0.417
0.7607843137254879,0.821,0.727,0.404
0.7647058823529389,0.828,0.731,0.391
0.7686274509803899,0.834,0.735,0.378
0.7725490196078408,0.841,0.739,0.365
0.7764705882352918,0.847,0.743,0.351
0.7803921568627428,0.853,0.746,0.337
0.7843137254901937,0.859,0.750,0.324
0.7882352941176447,0.865,0.754,0.309
0.7921568627450957,0.871,0.758,0.295
0.7960784313725466,0.877,0.762,0.281
0.7999999999999976,0.883,0.766,0.266
0.8039215686274486,0.889,0.770,0.251
0.8078431372548995,0.894,0.774,0.236
0.8117647058823505,0.900,0.778,0.222
0.8156862745098015,0.905,0.782,0.207
0.8196078431372524,0.910,0.786,0.193
0.8235294117647034,0.916,0.790,0.179
0.8274509803921544,0.921,0.794,0.166
0.8313725490196053,0.926,0.798,0.155
0.8352941176470563,0.931,0.802,0.145
0.8392156862745073,0.935,0.806,0.138
0.8431372549019582,0.940,0.809,0.134
0.8470588235294092,0.945,0.813,0.134
0.8509803921568602,0.949,0.817,0.137
0.8549019607843111,0.954,0.821,0.144
0.8588235294117621,0.958,0.825,0.155
0.8627450980392131,0.962,0.829,0.168
0.866666666666664,0.966,0.833,0.185
0.870588235294115,0.970,0.837,0.203
0.874509803921566,0.973,0.841,0.223
0.8784313725490169,0.977,0.845,0.244
0.8823529411764679,0.980,0.849,0.267
0.8862745098039189,0.983,0.853,0.290
0.8901960784313698,0.986,0.857,0.314
0.8941176470588208,0.989,0.861,0.339
0.8980392156862718,0.991,0.865,0.364
0.9019607843137227,0.993,0.869,0.389
0.9058823529411737,0.995,0.873,0.415
0.9098039215686247,0.997,0.877,0.441
0.9137254901960756,0.998,0.882,0.467
0.9176470588235266,0.999,0.886,0.493
0.9215686274509776,1.000,0.890,0.519
0.9254901960784285,1.000,0.894,0.545
0.9294117647058795,1.000,0.898,0.571
0.9333333333333305,1.000,0.903,0.597
0.9372549019607814,1.000,0.907,0.622
0.9411764705882324,1.000,0.911,0.647
0.9450980392156834,1.000,0.915,0.672
0.9490196078431343,0.999,0.920,0.696
0.9529411764705853,0.998,0.924,0.720
0.9568627450980363,0.997,0.928,0.743
0.9607843137254872,0.996,0.933,0.765
0.9647058823529382,0.995,0.937,0.787
0.9686274509803892,0.994,0.942,0.808
0.9725490196078401,0.993,0.946,0.829
0.9764705882352911,0.992,0.950,0.849
0.9803921568627421,0.991,0.955,0.868
0.984313725490193,0.990,0.959,0.886
0.988235294117644,0.989,0.964,0.904
0.992156862745095,0.988,0.968,0.921
0.9960784313725459,0.988,0.972,0.937
0.9999999999999969,0.987,0.977,0.953
