scalar,r,g,b
0.0,0.092,0.161,0.447
0.00392156862745098,0.093,0.165,0.458
0.00784313725490196,0.095,0.170,0.469
0.011764705882352941,0.096,0.174,0.481
0.01568627450980392,0.098,0.178,0.492
0.0196078431372549,0.099,0.182,0.504
0.023529411764705882,0.101,0.187,0.515
0.027450980392156862,0.102,0.191,0.527
0.03137254901960784,0.103,0.196,0.538
0.03529411764705882,0.104,0.200,0.550
0.0392156862745098,0.106,0.204,0.562
0.043137254901960784,0.107,0.209,0.573
0.047058823529411764,0.108,0.213,0.585
0.050980392156862744,0.109,0.218,0.597
0.054901960784313725,0.111,0.222,0.609
0.058823529411764705,0.112,0.227,0.621
0.06274509803921569,0.113,0.231,0.633
0.06666666666666667,0.114,0.236,0.645
0.07058823529411765,0.115,0.240,0.657
0.07450980392156863,0.116,0.245,0.669
0.0784313725490196,0.118,0.249,0.681
0.08235294117647059,0.119,0.254,0.693
0.08627450980392157,0.121,0.259,0.704
0.09019607843137255,0.122,0.263,0.716
0.09411764705882353,0.124,0.268,0.728
0.09803921568627451,0.127,0.273,0.740
0.10196078431372549,0.129,0.278,0.751
0.10588235294117647,0.133,0.282,0.762
0.10980392156862745,0.137,0.287,0.773
0.11372549019607843,0.141,0.292,0.784
0.11764705882352941,0.147,0.297,0.794
0.12156862745098039,0.153,0.302,0.804
0.12549019607843137,0.159,0.307,0.813
0.12941176470588234,0.167,0.312,0.822
0.1333333333333333,0.175,0.317,0.830
0.13725490196078427,0.184,0.322,0.838
0.14117647058823524,0.194,0.328,0.845
0.1450980392156862,0.203,0.333,0.852
0.14901960784313717,0.214,0.338,0.858
0.15294117647058814,0.224,0.344,0.864
0.1568627450980391,0.235,0.349,0.870
0.16078431372549007,0.246,0.355,0.875
0.16470588235294104,0.257,0.361,0.879
0.168627450980392,0.268,0.366,0.884
0.17254901960784297,0.279,0.372,0.888
0.17647058823529393,0.290,0.378,0.892
0.1803921568627449,0.300,0.384,0.896
0.18431372549019587,0.311,0.390,0.899
0.18823529411764683,0.321,0.395,0.903
0.1921568627450978,0.332,0.401,0.906
0.19607843137254877,0.342,0.407,0.910
0.19999999999999973,0.352,0.413,0.913
