scalar,r,g,b
0.0,0.097,0.507,0.982
0.00392156862745098,0.103,0.504,0.974
0.00784313725490196,0.109,0.500,0.967
0.011764705882352941,0.114,0.497,0.959
0.01568627450980392,0.118,0.493,0.951
0.0196078431372549,0.123,0.490,0.943
0.023529411764705882,0.127,0.487,0.936
0.027450980392156862,0.131,0.483,0.928
0.03137254901960784,0.135,0.480,0.920
0.03529411764705882,0.138,0.476,0.913
0.0392156862745098,0.141,0.473,0.905
0.043137254901960784,0.145,0.469,0.897
0.047058823529411764,0.148,0.466,0.890
0.050980392156862744,0.150,0.463,0.882
0.054901960784313725,0.153,0.459,0.874
0.058823529411764705,0.156,0.456,0.867
0.06274509803921569,0.158,0.452,0.859
0.06666666666666667,0.161,0.449,0.852
0.07058823529411765,0.163,0.445,0.844
0.07450980392156863,0.165,0.442,0.837
0.0784313725490196,0.167,0.439,0.829
0.08235294117647059,0.169,0.435,0.822
0.08627450980392157,0.171,0.432,0.814
0.09019607843137255,0.172,0.429,0.807
0.09411764705882353,0.174,0.425,0.799
0.09803921568627451,0.176,0.422,0.792
0.10196078431372549,0.177,0.418,0.784
0.10588235294117647,0.179,0.415,0.777
0.10980392156862745,0.180,0.412,0.769
0.11372549019607843,0.181,0.408,0.762
0.11764705882352941,0.182,0.405,0.754
0.12156862745098039,0.184,0.402,0.747
0.12549019607843137,0.185,0.398,0.740
0.12941176470588234,0.186,0.395,0.732
0.1333333333333333,0.187,0.392,0.725
0.13725490196078427,0.188,0.389,0.718
0.14117647058823524,0.188,0.385,0.710
0.1450980392156862,0.189,0.382,0.703
0.14901960784313717,0.190,0.379,0.696
0.15294117647058814,0.191,0.375,0.688
0.1568627450980391,0.191,0.372,0.681
0.16078431372549007,0.192,0.369,0.674
0.16470588235294104,0.192,0.365,0.667
0.168627450980392,0.193,0.362,0.659
0.17254901960784297,0.193,0.359,0.652
0.17647058823529393,0.194,0.356,0.645
0.1803921568627449,0.194,0.352,0.638
0.18431372549019587,0.194,0.349,0.631
0.18823529411764683,0.194,0.346,0.624
0.1921568627450978,0.195,0.343,0.616
0.19607843137254877,0.195,0.340,0.609
0.19999999999999973,0.195,0.336,0.602
0.2039215686274507,0.195,0.333,0.595
0.20784313725490167,0.195,0.330,0.588
0.21176470588235263,0.195,0.327,0.581
0.2156862745098036,0.195,0.323,0.574
0.21960784313725457,0.195,0.320,0.567
0.22352941176470553,0.195,0.317,0.560
0.2274509803921565,0.195,0.314,0.553
0.23137254901960747,0.194,0.311,0.546
0.23529411764705843,0.194,0.308,0.539
0.2392156862745094,0.194,0.304,0.532
0.24313725490196036,0.194,0.301,0.525
0.24705882352941133,0.193,0.298,0.518
0.2509803921568623,0.193,0.295,0.511
0.25490196078431326,0.192,0.292,0.504
0.25882352941176423,0.192,0.289,0.497
0.2627450980392152,0.192,0.286,0.491
0.26666666666666616,0.191,0.282,0.484
0.27058823529411713,0.190,0.279,0.477
0.2745098039215681,0.190,0.276,0.470
0.27843137254901906,0.189,0.273,0.463
0.28235294117647003,0.189,0.270,0.457
0.286274509803921,0.188,0.267,0.450
0.29019607843137196,0.187,0.264,0.443
0.29411764705882293,0.187,0.261,0.436
0.2980392156862739,0.186,0.258,0.430
0.30196078431372486,0.185,0.255,0.423
0.30588235294117583,0.184,0.252,0.416
0.3098039215686268,0.183,0.249,0.410
0.31372549019607776,0.182,0.245,0.403
0.3176470588235287,0.182,0.242,0.396
0.3215686274509797,0.181,0.239,0.390
0.32549019607843066,0.180,0.236,0.383
0.3294117647058816,0.179,0.233,0.377
0.3333333333333326,0.178,0.230,0.370
0.33725490196078356,0.177,0.227,0.364
0.3411764705882345,0.176,0.224,0.357
0.3450980392156855,0.174,0.221,0.351
0.34901960784313646,0.173,0.218,0.344
0.3529411764705874,0.172,0.215,0.338
0.3568627450980384,0.171,0.213,0.331
0.36078431372548936,0.170,0.210,0.325
0.3647058823529403,0.168,0.207,0.319
0.3686274509803913,0.167,0.204,0.312
0.37254901960784226,0.166,0.201,0.306
0.3764705882352932,0.165,0.198,0.300
0.3803921568627442,0.163,0.195,0.293
0.38431372549019516,0.162,0.192,0.287
0.3882352941176461,0.160,0.189,0.281
0.3921568627450971,0.159,0.186,0.275
0.39607843137254806,0.158,0.183,0.268
0.399999999999999,0.156,0.180,0.262
0.40392156862745,0.155,0.178,0.256
0.40784313725490096,0.153,0.175,0.250
0.4117647058823519,0.151,0.172,0.244
0.4156862745098029,0.150,0.169,0.238
0.41960784313725386,0.148,0.166,0.232
0.4235294117647048,0.147,0.163,0.226
0.4274509803921558,0.145,0.161,0.220
0.43137254901960675,0.143,0.158,0.214
0.4352941176470577,0.142,0.155,0.208
0.4392156862745087,0.140,0.152,0.202
0.44313725490195965,0.139,0.150,0.196
0.4470588235294106,0.137,0.147,0.190
0.4509803921568616,0.135,0.144,0.184
0.45490196078431255,0.134,0.142,0.179
0.4588235294117635,0.133,0.139,0.173
0.4627450980392145,0.132,0.137,0.168
0.46666666666666545,0.131,0.134,0.163
0.4705882352941164,0.130,0.132,0.158
0.4745098039215674,0.129,0.130,0.153
0.47843137254901835,0.129,0.128,0.148
0.4823529411764693,0.129,0.127,0.144
0.4862745098039203,0.129,0.125,0.140
0.49019607843137125,0.130,0.124,0.137
0.4941176470588222,0.132,0.123,0.133
0.4980392156862732,0.133,0.123,0.131
0.5019607843137242,0.135,0.122,0.128
0.5058823529411751,0.138,0.122,0.126
0.5098039215686261,0.141,0.122,0.124
0.513725490196077,0.144,0.122,0.123
0.517647058823528,0.148,0.123,0.122
0.521568627450979,0.152,0.124,0.121
0.52549019607843,0.156,0.125,0.121
0.5294117647058809,0.161,0.126,0.121
0.5333333333333319,0.165,0.127,0.121
0.5372549019607828,0.170,0.129,0.122
0.5411764705882338,0.176,0.130,0.122
0.5450980392156848,0.181,0.132,0.123
0.5490196078431357,0.186,0.133,0.124
0.5529411764705867,0.192,0.135,0.125
0.5568627450980377,0.197,0.137,0.126
0.5607843137254886,0.203,0.139,0.127
0.5647058823529396,0.209,0.140,0.128
0.5686274509803906,0.214,0.142,0.129
0.5725490196078415,0.220,0.144,0.130
0.5764705882352925,0.226,0.146,0.131
0.5803921568627435,0.232,0.148,0.132
0.5843137254901944,0.237,0.149,0.133
0.5882352941176454,0.243,0.151,0.135
0.5921568627450964,0.249,0.153,0.136
0.5960784313725473,0.255,0.155,0.137
0.5999999999999983,0.260,0.156,0.138
0.6039215686274493,0.266,0.158,0.139
0.6078431372549002,0.272,0.160,0.140
