scalar,r,g,b
0.0,0.216,0.718,0.926
0.00392156862745098,0.218,0.718,0.923
0.00784313725490196,0.220,0.718,0.919
0.011764705882352941,0.223,0.719,0.916
0.01568627450980392,0.225,0.719,0.912
0.0196078431372549,0.227,0.719,0.909
0.023529411764705882,0.230,0.720,0.906
0.027450980392156862,0.232,0.720,0.902
0.03137254901960784,0.234,0.720,0.899
0.03529411764705882,0.236,0.721,0.895
0.0392156862745098,0.238,0.721,0.892
0.043137254901960784,0.240,0.721,0.888
0.047058823529411764,0.242,0.721,0.885
0.050980392156862744,0.245,0.722,0.882
0.054901960784313725,0.247,0.722,0.878
0.058823529411764705,0.249,0.722,0.875
0.06274509803921569,0.251,0.723,0.871
0.06666666666666667,0.253,0.723,0.868
0.07058823529411765,0.255,0.723,0.864
0.07450980392156863,0.257,0.723,0.861
0.0784313725490196,0.259,0.724,0.857
0.08235294117647059,0.261,0.724,0.854
0.08627450980392157,0.263,0.724,0.850
0.09019607843137255,0.265,0.724,0.847
0.09411764705882353,0.267,0.725,0.843
0.09803921568627451,0.269,0.725,0.840
0.10196078431372549,0.271,0.725,0.836
0.10588235294117647,0.273,0.725,0.833
0.10980392156862745,0.274,0.726,0.829
0.11372549019607843,0.276,0.726,0.826
0.11764705882352941,0.278,0.726,0.822
0.12156862745098039,0.280,0.726,0.819
0.12549019607843137,0.282,0.727,0.815
0.12941176470588234,0.284,0.727,0.812
0.1333333333333333,0.286,0.727,0.808
0.13725490196078427,0.288,0.727,0.805
0.14117647058823524,0.290,0.728,0.801
0.1450980392156862,0.291,0.728,0.798
0.14901960784313717,0.293,0.728,0.794
0.15294117647058814,0.295,0.728,0.791
0.1568627450980391,0.297,0.729,0.787
0.16078431372549007,0.299,0.729,0.784
0.16470588235294104,0.301,0.729,0.780
0.168627450980392,0.303,0.729,0.776
0.17254901960784297,0.304,0.729,0.773
0.17647058823529393,0.306,0.730,0.769
0.1803921568627449,0.308,0.730,0.766
0.18431372549019587,0.310,0.730,0.762
0.18823529411764683,0.312,0.730,0.759
0.1921568627450978,0.314,0.730,0.755
0.19607843137254877,0.316,0.731,0.751
0.19999999999999973,0.318,0.731,0.748
0.2039215686274507,0.319,0.731,0.744
0.20784313725490167,0.321,0.731,0.740
0.21176470588235263,0.323,0.731,0.737
0.2156862745098036,0.325,0.731,0.733
0.21960784313725457,0.327,0.732,0.730
0.22352941176470553,0.329,0.732,0.726
0.2274509803921565,0.331,0.732,0.722
0.23137254901960747,0.333,0.732,0.719
0.23529411764705843,0.335,0.732,0.715
0.2392156862745094,0.337,0.732,0.711
0.24313725490196036,0.339,0.732,0.708
0.24705882352941133,0.341,0.733,0.704
0.2509803921568623,0.343,0.733,0.700
0.25490196078431326,0.345,0.733,0.696
0.25882352941176423,0.347,0.733,0.693
0.2627450980392152,0.349,0.733,0.689
0.26666666666666616,0.351,0.733,0.685
0.27058823529411713,0.353,0.733,0.682
0.2745098039215681,0.355,0.733,0.678
0.27843137254901906,0.357,0.733,0.674
0.28235294117647003,0.359,0.734,0.670
0.286274509803921,0.361,0.734,0.667
0.29019607843137196,0.363,0.734,0.663
0.29411764705882293,0.366,0.734,0.659
0.2980392156862739,0.368,0.734,0.655
0.30196078431372486,0.370,0.734,0.652
0.30588235294117583,0.372,0.734,0.648
0.3098039215686268,0.375,0.734,0.644
0.31372549019607776,0.377,0.734,0.640
0.3176470588235287,0.379,0.734,0.636
0.3215686274509797,0.381,0.734,0.633
0.32549019607843066,0.384,0.734,0.629
0.3294117647058816,0.386,0.734,0.625
0.3333333333333326,0.389,0.734,0.621
0.33725490196078356,0.391,0.734,0.617
0.3411764705882345,0.394,0.734,0.613
0.3450980392156855,0.396,0.734,0.610
0.34901960784313646,0.399,0.734,0.606
0.3529411764705874,0.401,0.734,0.602
0.3568627450980384,0.404,0.734,0.598
