scalar,r,g,b
0.0,0.399,0.606,0.565
0.00392156862745098,0.402,0.607,0.563
0.00784313725490196,0.404,0.608,0.561
0.011764705882352941,0.407,0.609,0.559
0.01568627450980392,0.410,0.610,0.557
0.0196078431372549,0.413,0.611,0.555
0.023529411764705882,0.416,0.612,0.553
0.027450980392156862,0.419,0.613,0.552
0.03137254901960784,0.421,0.614,0.550
0.03529411764705882,0.424,0.615,0.548
0.0392156862745098,0.427,0.616,0.546
0.043137254901960784,0.430,0.617,0.544
0.047058823529411764,0.433,0.617,0.543
0.050980392156862744,0.436,0.618,0.541
0.054901960784313725,0.439,0.619,0.539
0.058823529411764705,0.442,0.620,0.537
0.06274509803921569,0.445,0.621,0.535
0.06666666666666667,0.448,0.622,0.534
0.07058823529411765,0.450,0.623,0.532
0.07450980392156863,0.453,0.624,0.530
0.0784313725490196,0.456,0.624,0.528
0.08235294117647059,0.459,0.625,0.527
0.08627450980392157,0.462,0.626,0.525
0.09019607843137255,0.465,0.627,0.523
0.09411764705882353,0.468,0.628,0.521
0.09803921568627451,0.471,0.629,0.520
0.10196078431372549,0.474,0.629,0.518
0.10588235294117647,0.478,0.630,0.516
0.10980392156862745,0.481,0.631,0.515
0.11372549019607843,0.484,0.632,0.513
0.11764705882352941,0.487,0.633,0.511
0.12156862745098039,0.490,0.633,0.509
0.12549019607843137,0.493,0.634,0.508
0.12941176470588234,0.496,0.635,0.506
0.1333333333333333,0.500,0.636,0.505
0.13725490196078427,0.503,0.636,0.503
0.14117647058823524,0.506,0.637,0.501
0.1450980392156862,0.509,0.638,0.500
0.14901960784313717,0.513,0.639,0.498
0.15294117647058814,0.516,0.639,0.496
0.1568627450980391,0.519,0.640,0.495
0.16078431372549007,0.523,0.641,0.493
0.16470588235294104,0.526,0.641,0.492
0.168627450980392,0.530,0.642,0.490
0.17254901960784297,0.533,0.643,0.489
0.17647058823529393,0.537,0.643,0.487
0.1803921568627449,0.540,0.644,0.486
0.18431372549019587,0.544,0.644,0.484
0.18823529411764683,0.547,0.645,0.483
0.1921568627450978,0.551,0.645,0.481
0.19607843137254877,0.555,0.646,0.480
0.19999999999999973,0.558,0.647,0.478
0.2039215686274507,0.562,0.647,0.477
0.20784313725490167,0.566,0.648,0.475
0.21176470588235263,0.570,0.648,0.474
0.2156862745098036,0.574,0.648,0.473
0.21960784313725457,0.578,0.649,0.471
0.22352941176470553,0.582,0.649,0.470
0.2274509803921565,0.586,0.650,0.469
0.23137254901960747,0.590,0.650,0.467
0.23529411764705843,0.594,0.650,0.466
0.2392156862745094,0.598,0.651,0.465
0.24313725490196036,0.602,0.651,0.463
0.24705882352941133,0.607,0.651,0.462
0.2509803921568623,0.611,0.652,0.461
0.25490196078431326,0.616,0.652,0.460
0.25882352941176423,0.620,0.652,0.459
0.2627450980392152,0.625,0.652,0.458
0.26666666666666616,0.630,0.652,0.457
0.27058823529411713,0.634,0.652,0.456
0.2745098039215681,0.639,0.652,0.455
0.27843137254901906,0.644,0.652,0.454
0.28235294117647003,0.649,0.652,0.453
0.286274509803921,0.654,0.652,0.452
0.29019607843137196,0.660,0.652,0.451
0.29411764705882293,0.665,0.652,0.450
0.2980392156862739,0.671,0.652,0.449
0.30196078431372486,0.676,0.652,0.449
0.30588235294117583,0.682,0.651,0.448
0.3098039215686268,0.687,0.651,0.447
0.31372549019607776,0.692,0.651,0.447
0.3176470588235287,0.697,0.651,0.446
0.3215686274509797,0.702,0.650,0.445
0.32549019607843066,0.707,0.650,0.445
0.3294117647058816,0.712,0.650,0.444
0.3333333333333326,0.717,0.650,0.443
0.33725490196078356,0.722,0.650,0.443
0.3411764705882345,0.726,0.650,0.442
0.3450980392156855,0.730,0.650,0.441
0.34901960784313646,0.735,0.650,0.440
0.3529411764705874,0.739,0.650,0.440
0.3568627450980384,0.743,0.650,0.439
0.36078431372548936,0.747,0.650,0.438
0.3647058823529403,0.751,0.650,0.438
0.3686274509803913,0.755,0.650,0.437
0.37254901960784226,0.759,0.651,0.436
0.3764705882352932,0.762,0.651,0.436
0.3803921568627442,0.766,0.651,0.435
0.38431372549019516,0.769,0.651,0.434
0.3882352941176461,0.773,0.652,0.434
0.3921568627450971,0.776,0.652,0.433
0.39607843137254806,0.779,0.652,0.432
0.399999999999999,0.782,0.653,0.432
0.40392156862745,0.785,0.653,0.431
