scalar,r,g,b
0.0,0.032,0.362,0.973
0.00392156862745098,0.058,0.371,0.958
0.00784313725490196,0.076,0.380,0.943
0.011764705882352941,0.089,0.389,0.928
0.01568627450980392,0.098,0.397,0.914
0.0196078431372549,0.105,0.406,0.899
0.023529411764705882,0.110,0.414,0.884
0.027450980392156862,0.114,0.422,0.869
0.03137254901960784,0.116,0.430,0.854
0.03529411764705882,0.116,0.438,0.839
0.0392156862745098,0.115,0.445,0.824
0.043137254901960784,0.113,0.453,0.809
0.047058823529411764,0.109,0.461,0.794
0.050980392156862744,0.105,0.468,0.780
0.054901960784313725,0.099,0.475,0.765
0.058823529411764705,0.093,0.482,0.750
0.06274509803921569,0.086,0.489,0.735
0.06666666666666667,0.080,0.496,0.720
0.07058823529411765,0.075,0.503,0.705
0.07450980392156863,0.071,0.509,0.689
0.0784313725490196,0.071,0.515,0.674
0.08235294117647059,0.074,0.521,0.658
0.08627450980392157,0.080,0.527,0.643
0.09019607843137255,0.089,0.532,0.627
0.09411764705882353,0.100,0.538,0.611
0.09803921568627451,0.113,0.543,0.594
0.10196078431372549,0.126,0.548,0.578
0.10588235294117647,0.139,0.553,0.561
0.10980392156862745,0.152,0.557,0.544
0.11372549019607843,0.164,0.562,0.527
0.11764705882352941,0.175,0.566,0.510
0.12156862745098039,0.185,0.571,0.493
0.12549019607843137,0.194,0.575,0.475
0.12941176470588234,0.202,0.580,0.458
0.1333333333333333,0.209,0.584,0.440
0.13725490196078427,0.215,0.589,0.422
0.14117647058823524,0.220,0.593,0.404
0.1450980392156862,0.224,0.598,0.386
0.14901960784313717,0.227,0.602,0.368
0.15294117647058814,0.230,0.607,0.349
0.1568627450980391,0.232,0.611,0.331
0.16078431372549007,0.233,0.616,0.312
0.16470588235294104,0.234,0.620,0.294
0.168627450980392,0.236,0.624,0.276
0.17254901960784297,0.237,0.629,0.258
0.17647058823529393,0.239,0.633,0.240
0.1803921568627449,0.241,0.637,0.223
0.18431372549019587,0.244,0.641,0.207
0.18823529411764683,0.249,0.644,0.193
0.1921568627450978,0.254,0.648,0.179
0.19607843137254877,0.261,0.651,0.167
0.19999999999999973,0.268,0.655,0.156
0.2039215686274507,0.277,0.658,0.147
0.20784313725490167,0.286,0.661,0.140
0.21176470588235263,0.297,0.663,0.134
0.2156862745098036,0.307,0.666,0.130
0.21960784313725457,0.318,0.669,0.126
0.22352941176470553,0.329,0.671,0.124
0.2274509803921565,0.340,0.674,0.122
0.23137254901960747,0.351,0.676,0.120
0.23529411764705843,0.362,0.678,0.119
0.2392156862745094,0.373,0.681,0.118
0.24313725490196036,0.384,0.683,0.117
0.24705882352941133,0.394,0.686,0.116
0.2509803921568623,0.405,0.688,0.116
0.25490196078431326,0.415,0.690,0.115
0.25882352941176423,0.425,0.693,0.114
0.2627450980392152,0.435,0.695,0.113
0.26666666666666616,0.445,0.697,0.113
0.27058823529411713,0.455,0.699,0.112
0.2745098039215681,0.465,0.702,0.111
0.27843137254901906,0.474,0.704,0.110
0.28235294117647003,0.484,0.706,0.110
0.286274509803921,0.493,0.709,0.109
0.29019607843137196,0.503,0.711,0.108
0.29411764705882293,0.512,0.713,0.107
0.2980392156862739,0.521,0.715,0.106
0.30196078431372486,0.531,0.718,0.105
0.30588235294117583,0.540,0.720,0.104
0.3098039215686268,0.549,0.722,0.103
0.31372549019607776,0.558,0.724,0.103
0.3176470588235287,0.567,0.726,0.102
0.3215686274509797,0.576,0.729,0.101
0.32549019607843066,0.585,0.731,0.100
0.3294117647058816,0.594,0.733,0.099
0.3333333333333326,0.603,0.735,0.098
0.33725490196078356,0.611,0.737,0.097
0.3411764705882345,0.620,0.739,0.096
0.3450980392156855,0.629,0.742,0.095
0.34901960784313646,0.638,0.744,0.094
0.3529411764705874,0.646,0.746,0.092
0.3568627450980384,0.655,0.748,0.091
0.36078431372548936,0.663,0.750,0.090
0.3647058823529403,0.672,0.752,0.089
0.3686274509803913,0.681,0.754,0.088
0.37254901960784226,0.689,0.756,0.087
0.3764705882352932,0.698,0.758,0.085
0.3803921568627442,0.706,0.760,0.084
0.38431372549019516,0.715,0.762,0.083
0.3882352941176461,0.723,0.765,0.082
0.3921568627450971,0.732,0.767,0.080
0.39607843137254806,0.740,0.769,0.079
0.399999999999999,0.748,0.771,0.078
0.40392156862745,0.757,0.773,0.076
0.40784313725490096,0.765,0.775,0.075
0.4117647058823519,0.774,0.777,0.073
0.4156862745098029,0.782,0.779,0.072
0.41960784313725386,0.790,0.781,0.070
0.4235294117647048,0.799,0.783,0.069
0.4274509803921558,0.807,0.785,0.067
0.43137254901960675,0.815,0.786,0.065
0.4352941176470577,0.824,0.788,0.064
0.4392156862745087,0.832,0.790,0.062
0.44313725490195965,0.840,0.792,0.060
0.4470588235294106,0.849,0.794,0.058
0.4509803921568616,0.857,0.796,0.057
0.45490196078431255,0.865,0.798,0.055
0.4588235294117635,0.874,0.800,0.054
0.4627450980392145,0.882,0.801,0.054
0.46666666666666545,0.890,0.803,0.054
0.4705882352941164,0.898,0.804,0.056
0.4745098039215674,0.907,0.805,0.058
0.47843137254901835,0.915,0.806,0.063
0.4823529411764693,0.923,0.806,0.069
0.4862745098039203,0.930,0.806,0.077
0.49019607843137125,0.938,0.806,0.087
0.4941176470588222,0.945,0.805,0.098
0.4980392156862732,0.951,0.803,0.110
0.5019607843137242,0.957,0.801,0.123
0.5058823529411751,0.963,0.798,0.136
0.5098039215686261,0.968,0.794,0.149
0.513725490196077,0.972,0.790,0.162
0.517647058823528,0.975,0.786,0.175
0.521568627450979,0.978,0.781,0.188
0.52549019607843,0.980,0.776,0.200
0.5294117647058809,0.982,0.771,0.212
0.5333333333333319,0.984,0.765,0.224
0.5372549019607828,0.985,0.760,0.235
0.5411764705882338,0.986,0.754,0.245
0.5450980392156848,0.987,0.749,0.255
0.5490196078431357,0.988,0.743,0.265
0.5529411764705867,0.989,0.738,0.275
0.5568627450980377,0.990,0.732,0.284
0.5607843137254886,0.991,0.726,0.293
0.5647058823529396,0.991,0.720,0.302
0.5686274509803906,0.992,0.715,0.310
0.5725490196078415,0.993,0.709,0.319
0.5764705882352925,0.993,0.703,0.327
0.5803921568627435,0.994,0.697,0.335
0.5843137254901944,0.994,0.692,0.343
0.5882352941176454,0.995,0.686,0.351
0.5921568627450964,0.995,0.680,0.358
0.5960784313725473,0.996,0.674,0.366
0.5999999999999983,0.996,0.668,0.373
0.6039215686274493,0.996,0.663,0.380
0.6078431372549002,0.997,0.657,0.387
0.6117647058823512,0.997,0.651,0.394
0.6156862745098022,0.997,0.645,0.401
0.6196078431372531,0.998,0.639,0.408
0.6235294117647041,0.998,0.633,0.415
0.6274509803921551,0.998,0.627,0.422
0.631372549019606,0.998,0.621,0.428
0.635294117647057,0.998,0.615,0.435
0.639215686274508,0.998,0.609,0.441
0.6431372549019589,0.999,0.603,0.448
0.6470588235294099,0.999,0.596,0.454
0.6509803921568609,0.999,0.590,0.461
0.6549019607843118,0.999,0.584,0.467
0.6588235294117628,0.999,0.578,0.473
0.6627450980392138,0.998,0.572,0.479
0.6666666666666647,0.998,0.565,0.486
0.6705882352941157,0.998,0.559,0.492
0.6745098039215667,0.998,0.553,0.498
0.6784313725490176,0.998,0.546,0.504
0.6823529411764686,0.998,0.540,0.510
0.6862745098039196,0.997,0.533,0.516
0.6901960784313705,0.997,0.527,0.522
0.6941176470588215,0.997,0.520,0.528
0.6980392156862725,0.997,0.514,0.533
0.7019607843137234,0.996,0.507,0.539
0.7058823529411744,0.996,0.500,0.545
